NO,FEATURE CODE,FEATURE NAME,NAME,TYPE,STATE,LAT,LONG
94,BJ0330,Petrol Station,BHP Puchong Bt 14,BHP,Selangor,2.98753,101.623
95,BJ0330,Petrol Station,SHELL Putra Permai,SHELL,Selangor,2.98849,101.671
96,BJ0330,Petrol Station,PETRONAS (NGV) Bt 14 Puchong,PETRONAS,Selangor,2.98875,101.623
97,BJ0330,Petrol Station,SHELL Selat Selatan,SHELL,Selangor,2.98871,101.42
98,BJ0330,Petrol Station,ESSO Putra Permai,PETRON,Selangor,2.9894,101.673
99,BJ0330,Petrol Station,BHP Sungai Chua,BHP,Selangor,2.99058,101.781
100,BJ0330,Petrol Station,CALTEX Jalan Semenyih,CALTEX,Selangor,2.99064,101.8
101,BJ0330,Petrol Station,ESSO Sungai Chua,PETRON,Selangor,2.99075,101.779
102,BJ0330,Petrol Station,SHELL Taman Bukit Mewah,SHELL,Selangor,2.99113,101.797
103,BJ0330,Petrol Station,PETRONAS Taman Bukit Mewah,PETRONAS,Selangor,2.9912,101.796
104,BJ0330,Petrol Station,SHELL Kajang,SHELL,Selangor,2.99272,101.79
105,BJ0330,Petrol Station,PETRONAS Kota Kemuning,PETRONAS,Selangor,2.99238,101.531
106,BJ0330,Petrol Station,ESSO Bukit Tinggi,PETRON,Selangor,2.99231,101.446
107,BJ0330,Petrol Station,PETRONAS Saujana Puchong,PETRONAS,Selangor,2.99289,101.64
108,BJ0330,Petrol Station,CALTEX Kota Perdana,CALTEX,Selangor,2.99403,101.663
109,BJ0330,Petrol Station,PETRONAS Equine Park,PETRONAS,Selangor,2.99463,101.676
110,BJ0330,Petrol Station,ESSO Putra Heights,PETRON,Selangor,2.99444,101.561
111,BJ0330,Petrol Station,MOBIL Puchong Utama,MOBIL,Selangor,2.99603,101.614
112,BJ0330,Petrol Station,SHELL Putra Heights,SHELL,Selangor,2.99708,101.571
113,BJ0330,Petrol Station,SHELL Bukit Rimau,SHELL,Selangor,2.99755,101.527
114,BJ0330,Petrol Station,MOBIL Sungai Kantan,MOBIL,Selangor,2.99924,101.785
115,BJ0330,Petrol Station,CALTEX Jalan Banting,CALTEX,Selangor,2.99841,101.421
116,BJ0330,Petrol Station,PETRONAS Puchong Utama,PETRONAS,Selangor,2.99916,101.612
117,BJ0330,Petrol Station,SHELL Puchong Utama,SHELL,Selangor,2.99948,101.612
118,BJ0330,Petrol Station,PETRONAS Puchong Prima,PETRONAS,Selangor,3.00137,101.596
119,BJ0330,Petrol Station,BHP Port Klang,BHP,Selangor,3.0033,101.401
120,BJ0330,Petrol Station,SHELL Port Klang,SHELL,Selangor,3.00371,101.4
121,BJ0330,Petrol Station,SHELL Alam Megah,SHELL,Selangor,3.00446,101.56
122,BJ0330,Petrol Station,BHP Bukit Kemuning,BHP,Selangor,3.00446,101.507
123,BJ0330,Petrol Station,PETRONAS Alam Megah,PETRONAS,Selangor,3.00461,101.56
124,BJ0330,Petrol Station,SHELL Raja Muda Musa (E),SHELL,Selangor,3.00424,101.403
125,BJ0330,Petrol Station,MOBIL Port Klang,MOBIL,Selangor,3.00427,101.401
126,BJ0330,Petrol Station,CALTEX Taman Universiti Indah,CALTEX,Selangor,3.00502,101.691
127,BJ0330,Petrol Station,PETRONAS Jalan Langat,PETRONAS,Selangor,3.00444,101.442
128,BJ0330,Petrol Station,ESSO Jalan Banting,PETRON,Selangor,3.00491,101.419
129,BJ0330,Petrol Station,CALTEX Port Klang,CALTEX,Selangor,3.00495,101.402
130,BJ0330,Petrol Station,BHP SBE,BHP,Selangor,3.00748,101.724
131,BJ0330,Petrol Station,PETRONAS Prima Saujana,PETRONAS,Selangor,3.00789,101.803
132,BJ0330,Petrol Station,SHELL Prima Saujana,SHELL,Selangor,3.00815,101.803
133,BJ0330,Petrol Station,PETRONAS Bukit Tinggi,PETRONAS,Selangor,3.00742,101.439
134,BJ0330,Petrol Station,PETRONAS Prima Saujana,PETRONAS,Selangor,3.00836,101.803
135,BJ0330,Petrol Station,MOBIL Bukit Kemuning,MOBIL,Selangor,3.0077,101.512
136,BJ0330,Petrol Station,CALTEX Puchong Perdana,CALTEX,Selangor,3.00841,101.599
137,BJ0330,Petrol Station,PETRONAS Pandamaran,PETRONAS,Selangor,3.00796,101.416
138,BJ0330,Petrol Station,BHP Port Klang,BHP,Selangor,3.00798,101.393
139,BJ0330,Petrol Station,PETRONAS Bukit Tinggi,PETRONAS,Selangor,3.00811,101.433
140,BJ0330,Petrol Station,ESSO,PETRON,Selangor,3.00939,101.777
141,BJ0330,Petrol Station,SHELL Puchong Perdana,SHELL,Selangor,3.00914,101.599
142,BJ0330,Petrol Station,PETRONAS Jalan Sungai Jati,PETRONAS,Selangor,3.00914,101.474
143,BJ0330,Petrol Station,BHP Alam Megah,BHP,Selangor,3.00939,101.563
144,BJ0330,Petrol Station,PETRONAS Taman Putra Budiman,PETRONAS,Selangor,3.00997,101.736
145,BJ0330,Petrol Station,"PETRONAS (NGV)  UPM, Serdang",PETRONAS,Selangor,3.01098,101.721
146,BJ0330,Petrol Station,PETRONAS,PETRONAS,Selangor,3.0112,101.775
147,BJ0330,Petrol Station,ESSO Puchong Indah,PETRON,Selangor,3.01167,101.605
148,BJ0330,Petrol Station,PETRONAS Bukit Kemuning,PETRONAS,Selangor,3.01229,101.522
149,BJ0330,Petrol Station,MOBIL Bukit Kemuning,MOBIL,Selangor,3.01268,101.523
150,BJ0330,Petrol Station,SHELL Taman Saujana Klang,SHELL,Selangor,3.01257,101.463
151,BJ0330,Petrol Station,ESSO Taman Saujana Klang,PETRON,Selangor,3.01317,101.461
152,BJ0330,Petrol Station,"MOBIL Seksyen 27, Shah Alam Section",MOBIL,Selangor,3.01362,101.56
153,BJ0330,Petrol Station,"SHELL Seksyen 27, Shah Alam",SHELL,Selangor,3.01435,101.56
154,BJ0330,Petrol Station,CALTEX Taman Sri Andalas,CALTEX,Selangor,3.01512,101.447
155,BJ0330,Petrol Station,SHELL Taman Delima,SHELL,Selangor,3.01615,101.777
156,BJ0330,Petrol Station,PETRONAS Kampung Raja Uda,PETRONAS,Selangor,3.01532,101.412
157,BJ0330,Petrol Station,ESSO Taman Sri Andalas,PETRON,Selangor,3.01545,101.447
158,BJ0330,Petrol Station,CALTEX Taman Bayu Perdana,CALTEX,Selangor,3.01545,101.433
159,BJ0330,Petrol Station,PETRONAS Jalan Batu Unjur,PETRONAS,Selangor,3.01572,101.426
160,BJ0330,Petrol Station,PETRONAS (NGV) Bukit Kemuning 2,PETRONAS,Selangor,3.01607,101.527
161,BJ0330,Petrol Station,PETRONAS Seri Kembangan,PETRONAS,Selangor,3.01658,101.703
162,BJ0330,Petrol Station,SHELL Jalan Batu Unjur,SHELL,Selangor,3.01617,101.425
163,BJ0330,Petrol Station,ESSO Jalan Batu Unjur,PETRON,Selangor,3.01626,101.424
164,BJ0330,Petrol Station,CALTEX Taman Delima,CALTEX,Selangor,3.01778,101.777
165,BJ0330,Petrol Station,PETRONAS Putra Heights,PETRONAS,Selangor,3.01761,101.584
166,BJ0330,Petrol Station,PETRONAS,PETRONAS,Selangor,3.01804,101.418
167,BJ0330,Petrol Station,ESSO Serdang Jaya,PETRON,Selangor,3.01926,101.713
168,BJ0330,Petrol Station,SHELL Serdang Jaya,SHELL,Selangor,3.0195,101.713
169,BJ0330,Petrol Station,"PETRONAS (NGV)  Seri Kembangan, Serdang",PETRONAS,Selangor,3.01976,101.713
170,BJ0330,Petrol Station,"CALTEX Seksyen 27, Shah Alam",CALTEX,Selangor,3.01999,101.561
171,BJ0330,Petrol Station,ESSO Bandar Baru Suleiman,PETRON,Selangor,3.01999,101.37
172,BJ0330,Petrol Station,SHELL LDP Puchong,SHELL,Selangor,3.02092,101.595
173,BJ0330,Petrol Station,PETRONAS Sungai Penaga,PETRONAS,Selangor,3.02135,101.587
174,BJ0330,Petrol Station,PETRONAS Taman Sri Andalas,PETRONAS,Selangor,3.02115,101.442
175,BJ0330,Petrol Station,SHELL Putra Heights,SHELL,Selangor,3.02214,101.582
176,BJ0330,Petrol Station,ESSO Kampung Jawa,PETRON,Selangor,3.02319,101.481
177,BJ0330,Petrol Station,BHP Kota Kemuning,BHP,Selangor,3.02345,101.541
178,BJ0330,Petrol Station,SHELL Taman Petaling,SHELL,Selangor,3.02375,101.443
179,BJ0330,Petrol Station,BHP Seri Kembangan,BHP,Selangor,3.02465,101.708
180,BJ0330,Petrol Station,SHELL Kampung Jawa,SHELL,Selangor,3.02433,101.481
181,BJ0330,Petrol Station,SHELL Taming Jaya,SHELL,Selangor,3.02512,101.736
182,BJ0330,Petrol Station,PETRONAS Taman Taming Jaya,PETRONAS,Selangor,3.02538,101.741
183,BJ0330,Petrol Station,PETRONAS,PETRONAS,Selangor,3.02553,101.772
184,BJ0330,Petrol Station,PETRONAS Taman Suria,PETRONAS,Selangor,3.0248,101.423
185,BJ0330,Petrol Station,SHELL,SHELL,Selangor,3.02611,101.772
186,BJ0330,Petrol Station,SHELL,SHELL,Selangor,3.02611,101.771
187,BJ0330,Petrol Station,MOBIL Serdang Raya,MOBIL,Selangor,3.02611,101.709
188,BJ0330,Petrol Station,CALTEX Serdang Perdana,CALTEX,Selangor,3.02684,101.71
189,BJ0330,Petrol Station,BHP,BHP,Selangor,3.0263,101.443
190,BJ0330,Petrol Station,SHELL Sungai Besi Indah,SHELL,Selangor,3.0271,101.724
191,BJ0330,Petrol Station,PETRONAS Sungai Besi Indah,PETRONAS,Selangor,3.02716,101.724
192,BJ0330,Petrol Station,ESSO Serdang Perdana,PETRON,Selangor,3.02714,101.711
193,BJ0330,Petrol Station,PETRONAS Puncak Jalil,PETRONAS,Selangor,3.02723,101.68
194,BJ0330,Petrol Station,SHELL Serdang Raya,SHELL,Selangor,3.02742,101.708
195,BJ0330,Petrol Station,PETRONAS Port Klang,PETRONAS,Selangor,3.02708,101.566
196,BJ0330,Petrol Station,SHELL Serdang Raya,SHELL,Selangor,3.02744,101.709
197,BJ0330,Petrol Station,PETRONAS Sri Muda,PETRONAS,Selangor,3.02705,101.542
198,BJ0330,Petrol Station,ESSO Sungai Besi Indah,PETRON,Selangor,3.0275,101.722
199,BJ0330,Petrol Station,SHELL Taman Radzi,SHELL,Selangor,3.02703,101.427
200,BJ0330,Petrol Station,SHELL Port Klang,SHELL,Selangor,3.02744,101.567
201,BJ0330,Petrol Station,BHP Taman Radzi,BHP,Selangor,3.0277,101.428
202,BJ0330,Petrol Station,CALTEX Layby Usj (S),CALTEX,Selangor,3.0286,101.575
203,BJ0330,Petrol Station,MOBIL,MOBIL,Selangor,3.02984,101.442
204,BJ0330,Petrol Station,SHELL S26,SHELL,Selangor,3.03034,101.572
205,BJ0330,Petrol Station,PETRONAS USJ  20,PETRONAS,Selangor,3.03038,101.584
206,BJ0330,Petrol Station,ESSO Puncak Jalil,PETRON,Selangor,3.03104,101.68
207,BJ0330,Petrol Station,SHELL Jalan Raja Muda Musa (E),SHELL,Selangor,3.03113,101.433
208,BJ0330,Petrol Station,BHP Bukit Dukung,BHP,Selangor,3.03201,101.769
209,BJ0330,Petrol Station,SHELL USJ 18,SHELL,Selangor,3.03162,101.586
210,BJ0330,Petrol Station,SHELL Sri Muda,SHELL,Selangor,3.03162,101.532
211,BJ0330,Petrol Station,SHELL Sri Muda,SHELL,Selangor,3.03334,101.538
212,BJ0330,Petrol Station,PETRONAS,PETRONAS,Selangor,3.03319,101.453
213,BJ0330,Petrol Station,CALTEX USJ 16,CALTEX,Selangor,3.03371,101.578
214,BJ0330,Petrol Station,MOBIL Jalan Raja Muda Musa (E),MOBIL,Selangor,3.03338,101.437
215,BJ0330,Petrol Station,SHELL RSA Sungai Besi,SHELL,Selangor,3.03527,101.706
216,BJ0330,Petrol Station,BHP Rsa Sungai Besi,BHP,Selangor,3.03611,101.706
217,BJ0330,Petrol Station,PETRONAS BK6,PETRONAS,Selangor,3.03669,101.655
218,BJ0330,Petrol Station,"PETRONAS Seksyen 26, Shah Alam",PETRONAS,Selangor,3.03737,101.552
219,BJ0330,Petrol Station,PETRONAS USJ  14,PETRONAS,Selangor,3.03823,101.589
220,BJ0330,Petrol Station,SHELL Serdang Raya,SHELL,Selangor,3.03901,101.704
221,BJ0330,Petrol Station,MOBIL Jalan Teluk Pulai,MOBIL,Selangor,3.0392,101.442
222,BJ0330,Petrol Station,SHELL Sungai Long,SHELL,Selangor,3.04014,101.795
223,BJ0330,Petrol Station,PETRONAS Serdang Raya,PETRONAS,Selangor,3.03995,101.704
224,BJ0330,Petrol Station,"BHP Seksyen 26, Shah Alam",BHP,Selangor,3.03997,101.548
225,BJ0330,Petrol Station,ESSO Teluk Pulai,PETRON,Selangor,3.04025,101.436
226,BJ0330,Petrol Station,MOBIL LDP Puchong,MOBIL,Selangor,3.04104,101.619
227,BJ0330,Petrol Station,MOBIL Serdang Raya,MOBIL,Selangor,3.04173,101.705
228,BJ0330,Petrol Station,SHELL Sungai Long,SHELL,Selangor,3.04199,101.789
229,BJ0330,Petrol Station,BHP Persiaran Tengku Ampuan,BHP,Selangor,3.04227,101.546
230,BJ0330,Petrol Station,PETRONAS USJ  9,PETRONAS,Selangor,3.04265,101.583
231,BJ0330,Petrol Station,SHELL USJ 9,SHELL,Selangor,3.04304,101.583
232,BJ0330,Petrol Station,SHELL Persiaran Tengku Ampuan,SHELL,Selangor,3.04351,101.546
233,BJ0330,Petrol Station,"ESSO Seksyen 18, Shah Alam",PETRON,Selangor,3.04392,101.516
234,BJ0330,Petrol Station,BHP Serdang Raya,BHP,Selangor,3.04604,101.705
235,BJ0330,Petrol Station,PETRONAS BK5,PETRONAS,Selangor,3.04617,101.642
236,BJ0330,Petrol Station,SHELL Cheras Perdana,SHELL,Selangor,3.04703,101.768
237,BJ0330,Petrol Station,MOBIL LDP Puchong,MOBIL,Selangor,3.04701,101.62
